Creator,Intelligence Index,Model,Context Window,License,Terminal-Bench Hard (Agentic Coding & Terminal Use),𝜏²-Bench Telecom (Agentic Tool Use),AA-LCR (Long Context Reasoning),Humanity's Last Exam (Reasoning & Knowledge),MMLU-Pro (Reasoning & Knowledge),GPQA Diamond (Scientific Reasoning),LiveCodeBench (Coding),SciCode(Coding),IFBench(InstructionFollowing),AIME 2025(CompetitionMath),Blended (USD/1M Tokens),InputPrice (USD/1M Tokens),OutputPrice (USD/1M Tokens),Median (Tokens/s),P5 (Tokens/s),P25 (Tokens/s),P75 (Tokens/s),P95 (Tokens/s),Latency ,First Answer,P5,P25,P75,P95,Total,Resoning
OpenAI,68,GPT-5 Codex (high),400k,Proprietary,36%,87%,69%,26%,87%,84%,84%,41%,74%,99%,$3.44 ,$1.25 ,$10.00 ,172,136,152,191,207,40.71,40.71,36.42,38.32,43.09,45,43.62,0
OpenAI,68,GPT-5 (high),400k,Proprietary,31%,85%,76%,27%,87%,85%,85%,43%,73%,94%,$3.44 ,$1.25 ,$10.00 ,98,77,86,116,130,108.53,108.53,96.27,101.72,115.55,121.17,113.66,0
OpenAI,66,GPT-5 (medium),400k,Proprietary,36%,87%,73%,24%,87%,84%,70%,41%,71%,92%,$3.44 ,$1.25 ,$10.00 ,116,90,96,145,171,66.44,66.44,43.58,50.4,79.98,80.81,70.74,0
OpenAI,65,o3,200k,Proprietary,35%,81%,69%,20%,85%,83%,81%,41%,71%,88%,$3.50 ,$2.00 ,$8.00 ,109,83,94,180,236,14.11,14.11,11.21,12.5,14.58,14.95,18.69,0
xAI,65,Grok 4,256k,Proprietary,38%,75%,68%,24%,87%,88%,82%,46%,54%,93%,$6.00 ,$3.00 ,$15.00 ,34,23,32,41,45,20.05,20.05,7.38,10.79,26.69,40.44,34.59,0
OpenAI,64,GPT-5 mini (high),400k,Proprietary,31%,68%,68%,20%,84%,83%,84%,39%,75%,91%,$0.69 ,$0.25 ,$2.00 ,69,62,65,73,77,79.96,79.96,75.16,77.29,128.27,166.92,87.23,0
Anthropic,63,Claude 4.5 Sonnet,1m,Proprietary,33%,78%,66%,17%,88%,83%,71%,45%,57%,88%,$6.00 ,$3.00 ,$15.00 ,59,38,50,60,64,2.11,36.18,1.69,1.9,2.22,2.41,44.7,34.07
OpenAI,62,GPT-5 (low),400k,Proprietary,25%,84%,59%,18%,86%,81%,76%,39%,67%,83%,$3.44 ,$1.25 ,$10.00 ,147,147,147,147,147,21.35,21.35,21.35,21.35,21.35,21.35,24.75,0
MiniMax,61,MiniMax-M2,205k,Open,24%,87%,61%,13%,82%,78%,83%,36%,72%,78%,$0.53 ,$0.30 ,$1.20 ,72,60,70,78,87,1.13,28.87,0.75,0.98,1.52,2.98,35.81,27.75
OpenAI,61,GPT-5 mini (medium),400k,Proprietary,27%,71%,66%,15%,83%,80%,69%,41%,71%,85%,$0.69 ,$0.25 ,$2.00 ,79,78,79,80,80,30.36,30.36,29.41,29.83,30.89,31.31,36.67,0
OpenAI,61,gpt-oss-120B (high),131k,Open,22%,66%,51%,19%,81%,78%,88%,39%,69%,93%,$0.26 ,$0.15 ,$0.60 ,377,140,213,601,"2,978",0.38,5.69,0.13,0.23,0.65,1.07,7.01,5.3
xAI,60,Grok 4 Fast,2m,Proprietary,18%,66%,65%,17%,85%,85%,83%,44%,51%,90%,$0.28 ,$0.20 ,$0.50 ,251,148,203,297,381,3.35,3.35,1.24,2.39,7.26,11.88,5.35,0
Google,60,Gemini 2.5 Pro,1m,Proprietary,25%,54%,66%,21%,86%,84%,80%,43%,49%,88%,$3.44 ,$1.25 ,$10.00 ,148,104,124,153,157,34.15,34.15,19.33,25.92,37.3,39.82,37.52,0
Anthropic,59,Claude 4.1 Opus,200k,Proprietary,32%,71%,66%,12%,88%,81%,65%,41%,55%,80%,$30.00 ,$15.00 ,$75.00 ,42,24,34,46,50,1.65,49.59,1.25,1.55,1.79,3.72,61.58,47.94
DeepSeek,58,DeepSeek V3.1 Terminus,128k,Open,28%,37%,65%,15%,85%,79%,80%,41%,57%,90%,$1.91 ,$1.64 ,$2.75 ,0,0,0,0,0,0,0,0,0,0,0,0,0
